cohort,pipeline,seed,model,task_idx,subject_acc
mdd_ec,ANOVA,44,SVM,2,0.9642857142857143
mdd_ec,ANOVA,44,XGBoost,0,1.0
mdd_ec,ANOVA,44,XGBoost,1,1.0
mdd_ec,ANOVA,44,XGBoost,2,1.0
mdd_ec,ANOVA,45,KNN,0,0.9821428571428571
mdd_ec,ANOVA,45,KNN,1,0.9821428571428571
mdd_ec,ANOVA,45,KNN,2,0.9821428571428571
mdd_ec,ANOVA,45,MLP_(Neural_Network),0,1.0
mdd_ec,ANOVA,45,MLP_(Neural_Network),1,1.0
mdd_ec,ANOVA,45,MLP_(Neural_Network),2,1.0
mdd_ec,ANOVA,45,SVM,0,0.9107142857142857
mdd_ec,ANOVA,45,SVM,1,0.8571428571428571
mdd_ec,ANOVA,45,SVM,2,0.9464285714285714
mdd_ec,ANOVA,45,XGBoost,0,1.0
mdd_ec,ANOVA,45,XGBoost,1,1.0
mdd_ec,ANOVA,45,XGBoost,2,1.0
mdd_ec,ANOVA,46,KNN,0,0.9821428571428571
