experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-19_sub-20_sub-27_sub-36_sub-43_sub-57,task_KNN_4_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.49830220713073003,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-11_sub-25_sub-32_sub-37_sub-51,task_KNN_35_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.44667832167832167,0.9274964409192598
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-11_sub-25_sub-32_sub-37_sub-51,task_KNN_35_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.44667832167832167,0.9354281065690462
PCA_L_6_EC,PCA,6,EC,KNN,sub-7_sub-11_sub-25_sub-32_sub-37_sub-51,task_KNN_35_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.44667832167832167,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-22_sub-23_sub-41_sub-50_sub-59,task_KNN_2_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4987405541561713,0.9218350873607847
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-22_sub-23_sub-41_sub-50_sub-59,task_KNN_2_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4987405541561713,0.9356288954735874
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-22_sub-23_sub-41_sub-50_sub-59,task_KNN_2_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5709487825356843,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-5_sub-7_sub-27_sub-39_sub-42_sub-46,task_KNN_28_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4837133550488599,0.9134358974358975
PCA_L_6_EC,PCA,6,EC,KNN,sub-5_sub-7_sub-27_sub-39_sub-42_sub-46,task_KNN_28_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4837133550488599,0.9241025641025641
PCA_L_6_EC,PCA,6,EC,KNN,sub-5_sub-7_sub-27_sub-39_sub-42_sub-46,task_KNN_28_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.48452768729641693,1.0
